path, name1, source1, url1, name2, source2, url2, name3, source3, url3,
"mod\answer\BGM\sheep counts.ogg.wav","Sheep Counts ","Higurashi no Naku Koro ni Kai ","lEH5EVCS0yA",
"mod\answer\BGM\song_hdbop.ogg.wav","그 앞에 있는 누군가의 웃는 얼굴을 위해 その先にある、誰かの笑顔の為に 1st verse","","",
"mod\answer\BGM\sora-yume-.ogg.wav","헛된 꿈 空夢","","",
"mod\answer\BGM\sora_no_mukou.ogg.wav","Beyond the Skies (そらのむこう⧸Sora no Mukou) [Piano] ","Higurashi no Naku Koro ni Kai ","4utMMuBEnjs",
"mod\answer\BGM\sora_no_mukou_201ver2.ogg.wav","Beyond the Skies (そらのむこう⧸Sora no Mukou) [Piano] ","Higurashi no Naku Koro ni Kai ","4utMMuBEnjs",
"mod\answer\BGM\sora_v2_nonloop.ogg.wav","하늘의 저편 そらのむこう","","",
"mod\answer\BGM\soul_scour.ogg.wav","Soul Scour ","Higurashi no Naku Koro ni Kai ","1AxkHZ5WGMc",
"mod\answer\BGM\suzu.ogg.wav","BSFX Creepy Rattle (GIN)","","",
"mod\answer\BGM\suzume.ogg.wav","BSFX Birds (GIN)","","",
"mod\answer\BGM\t1.ogg.wav","Thanks ","Higurashi no Naku Koro ni Kai ","fwjrFbTBCkc",
"mod\answer\BGM\t1_requiem.ogg.wav","Requiem for the Disaster ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","z7Q0t-WxgzI",
"mod\answer\BGM\t2.ogg.wav","Confession ","Higurashi no Naku Koro ni Kai ","6JM0QAyFj60",
"mod\answer\BGM\taip.ogg.wav","BSFX Typing (GIN)","","",
"mod\answer\BGM\testament.ogg.wav","Testament ","Higurashi no Naku Koro ni Kai ","hD2LRjZhco0",
"mod\answer\BGM\tsutaetaikoto_loop.ogg.wav","Things I Want to Convey (Tsutaetai Koto⧸伝えたいこと) ","Higurashi no Naku Koro ni Kai ","otdpzAe9cQo",
"mod\answer\BGM\tuika01_ver3.ogg.wav","being","","",
"mod\answer\BGM\type.ogg.wav",
"mod\answer\BGM\typewriter.ogg.wav","Hollow (Uro⧸虚) ","Higurashi no Naku Koro ni Kai ","tQjwwjSUpZE",
"mod\answer\BGM\u2_2.ogg.wav","kneecap ","Higurashi Daybreak [Disc 2] ","q3PIL4qPVVU",
"mod\answer\BGM\u2_3.ogg.wav","bright sun ","Higurashi Daybreak [Disc 2] ","1BSQveysms0",
"mod\answer\BGM\u2_rika.ogg.wav","Nipa~☆ ","Higurashi Daybreak [Disc 2] ","1wamdr1ruzI",
"mod\answer\BGM\utage_sample.ogg.wav","Banquet (Utage⧸宴) ","Higurashi no Naku Koro ni Kai ","yudYvwzzy18",
"mod\answer\BGM\yabaisemi.ogg.wav","BSFX Slow Phasor Wind (New)","","",
"mod\answer\BGM\years_ver2.ogg.wav","Years ","Higurashi no Naku Koro ni Kai ","OOVVMxWeUyY",
"mod\answer\BGM\yoru.ogg.wav","BSFX Insects 2 (GIN)","","",
"mod\answer\BGM\yorumushi.ogg.wav","BSFX Insects 2 (GIN)","","",
"mod\answer\BGM\you.ogg.wav","you ","Higurashi no Naku Koro ni Kai ","s7hkYNovNek",
"mod\answer\BGM\you_nonloop.ogg.wav","you ","Higurashi no Naku Koro ni Kai ","s7hkYNovNek",
"mod\answer\BGM\z01_iwakan.ogg.wav","REPLACEMENT for Germination of Discomfort (New)","","",
"mod\answer\BGM\z02_kyousou.ogg.wav","Gallery of Madness (Kiyouki he no Kairou⧸狂気への回廊) ","Higurashi no Naku Koro ni Kai ","tQXW5L59Zpo",
"mod\answer\BGM\z2_hig1.ogg.wav","soak","","",
"mod\answer\BGM\z2_hig2.ogg.wav","what is wished","","",
"mod\answer\BGM\z2_hig3.ogg.wav","daily passing by","","",
"mod\answer\BGM\zero(nonloop).ogg.wav","제로 Z・E・R・O","","",
"mod\answer\OGBGM\1.ogg.wav","Paris no Gogo (Afternoon in Paris) ","Higurashi no Naku Koro ni ","DEM-rr7zm9g",
"mod\answer\OGBGM\3.ogg.wav","Sutakorasassa (Helter Skelter) ","Higurashi no Naku Koro ni ","WY_-MK0XBGc",
"mod\answer\OGBGM\4.ogg.wav","Digital Network ","Higurashi no Naku Koro ni ","WABneXoH9ls",
"mod\answer\OGBGM\ame.ogg.wav","BSFX Rain (GIN)","","",
"mod\answer\OGBGM\attack.ogg.wav","Assault Operations ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","4QfNMaiM8Og",
"mod\answer\OGBGM\b01_akarui.ogg.wav","Paris no Gogo (Afternoon in Paris) ","Higurashi no Naku Koro ni ","DEM-rr7zm9g",
"mod\answer\OGBGM\b03_dame.ogg.wav","Sutakorasassa (Helter Skelter) ","Higurashi no Naku Koro ni ","WY_-MK0XBGc",
"mod\answer\OGBGM\b04_bukatu.ogg.wav","Digital Network ","Higurashi no Naku Koro ni ","WABneXoH9ls",
"mod\answer\OGBGM\b11_rika.ogg.wav","Baby's Walk (Rika) ","Higurashi no Naku Koro ni ","9kdlDI_Rb4A",
"mod\answer\OGBGM\b11_rika_oldver.ogg.wav","Baby's Walk (Rika) ","Higurashi no Naku Koro ni ","9kdlDI_Rb4A",
"mod\answer\OGBGM\BIGBEAR.ogg.wav","Big Bear ","Higurashi no Naku Koro ni Kai ","i2bp9VpmSCM",
"mod\answer\OGBGM\denwa_m.ogg.wav","BSFX Modern Phone Ringing (GIN)","","",
"mod\answer\OGBGM\heri.ogg.wav","BSFX Helicopter (GIN)","","",
"mod\answer\OGBGM\hgrs03.ogg.wav","Frozen memories ","Higurashi no Naku Koro ni Kai ","gR6aS2m9HEE",
"mod\answer\OGBGM\higurashi.ogg.wav","하늘의 저편 そらのむこう(yours Ver","","",
"mod\answer\OGBGM\hm05_20.ogg.wav","혼자 ひとり","","",
"mod\answer\OGBGM\iwakannnohatuga.ogg.wav","Germination of Discomfort 違和感の発芽 (Higurashi Kai)","","",
"mod\answer\OGBGM\jikuu.ogg.wav","BSFX Jump Scare Knock (GIN)","","",
"mod\answer\OGBGM\jikuu_a.ogg.wav","BSFX Mangled String Instrument (GIN)","","",
"mod\answer\OGBGM\kaze.ogg.wav","BSFX Creepy Phasor (GIN)","","",
"mod\answer\OGBGM\lsys13.ogg.wav","BSFX Cicadas with Rushing Water (GIN)","","",
"mod\answer\OGBGM\mati.ogg.wav","BSFX Car and Traffic (GIN)","","",
"mod\answer\OGBGM\mion.ogg.wav","Spring Step (Mion) ","Higurashi no Naku Koro ni ","8gkVtW1QV6k",
