path, name1, source1, url1,
"mod\answer\BGM\mienai.wav","Night When the Invisible Scares You ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","TRF5vvM3MZU",
"mod\answer\BGM\mion.wav","msysmi REPLACEMENT Upbeat Rock Music (New)","","",
"mod\answer\BGM\msys044.wav","What is Wished ","Higurashi no Naku Koro ni Kai ","Iskv6DyiSXs",
"mod\answer\BGM\msys06.wav","Silence ","Higurashi no Naku Koro ni ","StjLCsfIbqQ",
"mod\answer\BGM\msys32.wav","Dancers #5 ","Higurashi no Naku Koro ni ","nQe2zT8nicI",
"mod\answer\BGM\m_denwa8k.wav","BSFX Old Fashioned Phone Ringing (New)","","",
"mod\answer\BGM\nazo.wav","Ancient Times (Inishie⧸古) ","Higurashi no Naku Koro ni Kai ","PWf0dbHXUmI",
"mod\answer\BGM\omake2.wav","You (M.Box) ","Higurashi no Naku Koro ni Kai ","QiJnstjBA9Q",
"mod\answer\BGM\omake_01.wav","C-examination ","Higurashi no Naku Koro ni Kai ","sPUZTL05tuQ",
"mod\answer\BGM\pros.wav","Pros ","Higurashi no Naku Koro ni Kai ","jw8ozfMGkGI",
"mod\answer\BGM\rain.wav","BSFX Rain (GIN)","","",
"mod\answer\BGM\rika.wav","Nipa~☆ ","Higurashi Daybreak [Disc 2] ","1wamdr1ruzI",
"mod\answer\BGM\samayoi.wav","Wandering Words Lead to Heaven ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","U8_YBSIbXR0",
"mod\answer\BGM\search_and.wav","Search and Destroy ","Higurashi no Naku Koro ni Kai ","Xvh5lbVQX0g",
"mod\answer\BGM\search_and_destroy.wav","Search and Destroy ","Higurashi no Naku Koro ni Kai ","Xvh5lbVQX0g",
"mod\answer\BGM\semi.wav","BSFX Insects 1 (GIN)","","",
"mod\answer\BGM\semi_r.wav","BSFX Creepy Cicadas (GIN)","","",
"mod\answer\BGM\sheep counts.wav","Sheep Counts ","Higurashi no Naku Koro ni Kai ","lEH5EVCS0yA",
"mod\answer\BGM\song_hdbop.wav","그 앞에 있는 누군가의 웃는 얼굴을 위해 その先にある、誰かの笑顔の為に 1st verse","","",
"mod\answer\BGM\sora-yume-.wav","Fabricated Dream (Sorayume⧸空夢) ","Higurashi no Naku Koro ni Kai ","_KOvyNu5_tA",
"mod\answer\BGM\sora_no_mukou.wav","Beyond the Skies (そらのむこう⧸Sora no Mukou) [Piano] ","Higurashi no Naku Koro ni Kai ","4utMMuBEnjs",
"mod\answer\BGM\sora_no_mukou_201ver2.wav","Beyond the Skies (そらのむこう⧸Sora no Mukou) [Piano] ","Higurashi no Naku Koro ni Kai ","4utMMuBEnjs",
"mod\answer\BGM\sora_v2_nonloop.wav","Beyond the Skies (Sora no Mukou⧸そらのむこう) ","Higurashi no Naku Koro ni Kai ","AHVwZ13jMHQ",
"mod\answer\BGM\soul_scour.wav","Soul Scour ","Higurashi no Naku Koro ni Kai ","1AxkHZ5WGMc",
"mod\answer\BGM\suzu.wav","BSFX Creepy Rattle (GIN)","","",
"mod\answer\BGM\suzume.wav","BSFX Birds (GIN)","","",
"mod\answer\BGM\t1.wav","Thanks ","Higurashi no Naku Koro ni Kai ","fwjrFbTBCkc",
"mod\answer\BGM\t1_requiem.wav","Requiem for the Disaster ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","z7Q0t-WxgzI",
"mod\answer\BGM\t2.wav","Confession ","Higurashi no Naku Koro ni Kai ","6JM0QAyFj60",
"mod\answer\BGM\taip.wav","BSFX Typing (GIN)","","",
"mod\answer\BGM\testament.wav","Testament ","Higurashi no Naku Koro ni Kai ","hD2LRjZhco0",
"mod\answer\BGM\tsutaetaikoto_loop.wav","Things I Want to Convey (Tsutaetai Koto⧸伝えたいこと) ","Higurashi no Naku Koro ni Kai ","otdpzAe9cQo",
"mod\answer\BGM\tuika01_ver3.wav","Being ","Higurashi no Naku Koro ni Kai ","MwXacn8HyIs",
"mod\answer\BGM\type.wav","SFX Click (New)","","",
"mod\answer\BGM\typewriter.wav","Hollow (Uro⧸虚) ","Higurashi no Naku Koro ni Kai ","tQjwwjSUpZE",
"mod\answer\BGM\u2_2.wav","kneecap ","Higurashi Daybreak [Disc 2] ","q3PIL4qPVVU",
"mod\answer\BGM\u2_3.wav","bright sun ","Higurashi Daybreak [Disc 2] ","1BSQveysms0",
"mod\answer\BGM\u2_rika.wav","Nipa~☆ ","Higurashi Daybreak [Disc 2] ","1wamdr1ruzI",
"mod\answer\BGM\utage_sample.wav","Banquet (Utage⧸宴) ","Higurashi no Naku Koro ni Kai ","yudYvwzzy18",
"mod\answer\BGM\yabaisemi.wav","BSFX Slow Phasor Wind (New)","","",
"mod\answer\BGM\years_ver2.wav","Years ","Higurashi no Naku Koro ni Kai ","OOVVMxWeUyY",
"mod\answer\BGM\yoru.wav","BSFX Insects 2 (GIN)","","",
"mod\answer\BGM\yorumushi.wav","BSFX Insects 2 (GIN)","","",
"mod\answer\BGM\you.wav","you ","Higurashi no Naku Koro ni Kai ","s7hkYNovNek",
"mod\answer\BGM\you_nonloop.wav","you ","Higurashi no Naku Koro ni Kai ","s7hkYNovNek",
"mod\answer\BGM\z01_iwakan.wav","REPLACEMENT for Germination of Discomfort (New)","","",
"mod\answer\BGM\z02_kyousou.wav","Gallery of Madness (Kiyouki he no Kairou⧸狂気への回廊) ","Higurashi no Naku Koro ni Kai ","tQXW5L59Zpo",
"mod\answer\BGM\z2_hig1.wav","Soak ","Higurashi no Naku Koro ni Kai ","X3Ei-aR0XBg",
"mod\answer\BGM\z2_hig2.wav","What is Wished ","Higurashi no Naku Koro ni Kai ","Iskv6DyiSXs",
"mod\answer\BGM\z2_hig3.wav","daily passing by ","Higurashi no Naku Koro ni Kai ","KyMzLp80GyU",
"mod\answer\BGM\zero(nonloop).wav","Z・E・R・O ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","qcs2tpnQZEQ",
"mod\answer\OGBGM\1.wav","Paris no Gogo (Afternoon in Paris) ","Higurashi no Naku Koro ni ","DEM-rr7zm9g",
"mod\answer\OGBGM\3.wav","Sutakorasassa (Helter Skelter) ","Higurashi no Naku Koro ni ","WY_-MK0XBGc",
"mod\answer\OGBGM\4.wav","Digital Network ","Higurashi no Naku Koro ni ","WABneXoH9ls",
"mod\answer\OGBGM\ame.wav","BSFX Rain (GIN)","","",
"mod\answer\OGBGM\attack.wav","Assault Operations ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","4QfNMaiM8Og",
"mod\answer\OGBGM\b01_akarui.wav","Paris no Gogo (Afternoon in Paris) ","Higurashi no Naku Koro ni ","DEM-rr7zm9g",
"mod\answer\OGBGM\b03_dame.wav","Sutakorasassa (Helter Skelter) ","Higurashi no Naku Koro ni ","WY_-MK0XBGc",
"mod\answer\OGBGM\b04_bukatu.wav","Digital Network ","Higurashi no Naku Koro ni ","WABneXoH9ls",
"mod\answer\OGBGM\b11_rika.wav","Baby's Walk (Rika) ","Higurashi no Naku Koro ni ","9kdlDI_Rb4A",
"mod\answer\OGBGM\b11_rika_oldver.wav","Baby's Walk (Rika) ","Higurashi no Naku Koro ni ","9kdlDI_Rb4A",
"mod\answer\OGBGM\BIGBEAR.wav","Big Bear ","Higurashi no Naku Koro ni Kai ","i2bp9VpmSCM",
"mod\answer\OGBGM\denwa_m.wav","BSFX Modern Phone Ringing (GIN)","","",
"mod\answer\OGBGM\heri.wav","BSFX Helicopter (GIN)","","",
"mod\answer\OGBGM\hgrs03.wav","Frozen memories ","Higurashi no Naku Koro ni Kai ","gR6aS2m9HEE",
"mod\answer\OGBGM\higurashi.wav","Fabricated Dream (Sorayume⧸空夢) ","Higurashi no Naku Koro ni Kai ","_KOvyNu5_tA",
"mod\answer\OGBGM\hm05_20.wav","혼자 ひとり","","",
"mod\answer\OGBGM\iwakannnohatuga.wav","Germination of Discomfort 違和感の発芽 (Higurashi Kai)","","",
"mod\answer\OGBGM\jikuu.wav","BSFX Jump Scare Knock (GIN)","","",
"mod\answer\OGBGM\jikuu_a.wav","BSFX Mangled String Instrument (GIN)","","",
"mod\answer\OGBGM\kaze.wav","BSFX Creepy Phasor (GIN)","","",
"mod\answer\OGBGM\lsys13.wav","BSFX Cicadas with Rushing Water (GIN)","","",
"mod\answer\OGBGM\mati.wav","BSFX Car and Traffic (GIN)","","",
"mod\answer\OGBGM\mion.wav","Spring Step (Mion) ","Higurashi no Naku Koro ni ","8gkVtW1QV6k",
"mod\answer\OGBGM\msys01.wav","Paris no Gogo (Afternoon in Paris) ","Higurashi no Naku Koro ni ","DEM-rr7zm9g",
"mod\answer\OGBGM\msys03.wav","Sutakorasassa (Helter Skelter) ","Higurashi no Naku Koro ni ","WY_-MK0XBGc",
"mod\answer\OGBGM\msys06.wav","Silence ","Higurashi no Naku Koro ni ","StjLCsfIbqQ",
"mod\answer\OGBGM\msys07.wav","Doukutsu (Cave) ","Higurashi no Naku Koro ni ","C5NjBlR3Y58",
"mod\answer\OGBGM\msys08.wav","Mazoku Kenkyuusho (Demonic Institute) ","Higurashi no Naku Koro ni ","d11-trxvJx4",
"mod\answer\OGBGM\msys09.wav","Seijaku (Quietness) ","Higurashi no Naku Koro ni ","9IReJdqR-Hc",
"mod\answer\OGBGM\msys15.wav","Silver Mirror ","Higurashi no Naku Koro ni ","qTxmYXt2nfE",
"mod\answer\OGBGM\msys17.wav","Gear ","Higurashi no Naku Koro ni ","MX1hS7PwgRU",
"mod\answer\OGBGM\msys23.wav","Dancers7 (GIN)","","0Wb-tFSRCnU",
"mod\answer\OGBGM\msys27.wav","Tell a thing -piano solo ver.- (Radiata Alice Version) ","Higurashi no Naku Koro ni (07th_mod) ","XUNOms16TdY",
"mod\answer\OGBGM\msys30.wav","Meditation #1 ","Higurashi no Naku Koro ni ","bvHD_Plk4c4",
"mod\answer\OGBGM\m_denwa8k.wav","Utu ","Higurashi no Naku Koro ni Kai ","4DhtzrwhVyo",
"mod\answer\OGBGM\primal-beat-of-horrow_T.wav","Primal Beat of Horrow ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","KZuQ8WyfurE",
"mod\answer\OGBGM\rain.wav","BSFX Rain (GIN)","","",
"mod\answer\OGBGM\rika.wav","Baby's Walk (Rika) ","Higurashi no Naku Koro ni ","9kdlDI_Rb4A",
"mod\answer\OGBGM\semi.wav","BSFX Cicadas (GIN)","","",
"mod\answer\OGBGM\semi_r.wav","BSFX Cicadas with Phasor (GIN)","","",
"mod\answer\OGBGM\song_ps2ed1.wav","escape","","",
"mod\answer\OGBGM\song_you.wav","You (vocals) ","Unknown ","jdY1t1utvrI",
"mod\answer\OGBGM\suzu.wav","SFX Bells (GIN)","","",
"mod\answer\OGBGM\suzume.wav","BSFX Birds (GIN)","","",
"mod\answer\OGBGM\taip.wav","BSFX Satisfying Typing Sounds (GIN)","","",
"mod\answer\OGBGM\tsukisanbika.wav","Moon -Cruelness⇔Tribute- Song ","Higurashi no Naku Koro ni Kai ： The Lost Tracks ","vrxGUuia50M",
"mod\answer\OGBGM\tsutaetaikoto.wav","Things I Want to Convey (Tsutaetai Koto⧸伝えたいこと) ","Higurashi no Naku Koro ni Kai ","otdpzAe9cQo",
"mod\answer\OGBGM\type.wav","BSFX Muted Typing Sounds (GIN)","","",
